Title,Production,Episodes,Source,Genre,Airdate,Rating,Voters,Theme
Shingeki no Kyojin,Wit Studio,25,Manga,"Action,Drama,Fantasy,Mystery","Apr 7, 2013, 01:58 (JST)",8.52,"3,142,121","Military,Super Power"
Fullmetal Alchemist: Brotherhood,Bones,64,Manga,"Action,Adventure,Comedy,Drama,Fantasy","Apr 5, 2009, 17:00 (JST)",9.16,"2,676,911",Military
Sword Art Online,A-1 Pictures,25,Light novel,"Action,Adventure,Fantasy,Romance","Jul 8, 2012, 00:00 (JST)",7.20,"2,586,628",Game
One Punch Man,Madhouse,12,Web manga,"Action,Comedy,Sci-Fi,Supernatural","Oct 5, 2015, 01:05 (JST)",8.52,"2,583,068","Parody,Super Power"
Boku no Hero Academia,Bones,13,Manga,"Action,Comedy","Apr 3, 2016, 17:00 (JST)",7.98,"2,426,309","School,Super Power"
Tokyo Ghoul,Studio Pierrot,12,Manga,"Action,Drama,Horror,Mystery,Supernatural","Jul 4, 2014, 00:00 (JST)",7.80,"2,315,361",Psychological
Naruto,Studio Pierrot,220,Manga,"Action,Adventure,Comedy","Oct 3, 2002, 19:30 (JST)",7.95,"2,289,448","Martial Arts,Super Power"
Hunter x Hunter (2011),Madhouse,148,Manga,"Action,Adventure,Fantasy","Oct 2, 2011, 10:55 (JST)",9.06,"2,152,116",Super Power
Kimetsu no Yaiba,ufotable,26,Manga,"Action,Supernatural","Apr 6, 2019, 23:30 (JST)",8.57,"2,112,029","Demons,Historical"
Shingeki no Kyojin Season 2,Wit Studio,12,Manga,"Action,Drama,Fantasy,Mystery","Apr 1, 2017, 22:00 (JST)",8.49,"2,086,165","Military,Super Power"
Boku no Hero Academia 2nd Season,Bones,25,Manga,"Action,Comedy","Apr 1, 2017, 17:30 (JST)",8.20,"2,038,685","School,Super Power"
Naruto: Shippuuden,Studio Pierrot,500,Manga,"Action,Adventure,Comedy","Feb 15, 2007, 19:30 (JST)",8.22,"1,927,222","Martial Arts,Super Power"
Code Geass: Hangyaku no Lelouch,Sunrise,25,Original,"Action,Drama,Sci-Fi","Oct 6, 2006, 01:25 (JST)",8.71,"1,856,455","Mecha,Military,School,Super Power"
Noragami,Bones,12,Manga,"Action,Adventure,Comedy,Supernatural","Jan 5, 2014, 23:30 (JST)",7.98,"1,809,478",Shounen
Angel Beats!,P.A. Works,13,Original,"Action,Comedy,Drama,Supernatural","Apr 3, 2010",8.10,"1,803,263",School
Boku no Hero Academia 3rd Season,Bones,25,Manga,"Action,Comedy","Apr 7, 2018, 17:30 (JST)",8.13,"1,739,561","School,Super Power"
Mirai Nikki (TV),asread.,26,Manga,"Action,Mystery,Supernatural,Suspense","Oct 9, 2011, 23:00 (JST)",7.47,"1,736,726",Psychological
Shingeki no Kyojin Season 3,Wit Studio,12,Manga,"Action,Drama,Fantasy,Mystery","Jul 23, 2018, 00:35 (JST)",8.62,"1,730,269","Military,Super Power"
Nanatsu no Taizai,A-1 Pictures,24,Manga,"Action,Adventure,Fantasy,Supernatural","Oct 5, 2014, 17:00 (JST)",7.75,"1,707,750",Shounen
Akame ga Kill!,White Fox,24,Manga,"Action,Adventure,Drama,Fantasy","Jul 7, 2014, 00:00 (JST)",7.48,"1,706,987",Shounen
One Piece,Toei Animation,?,Manga,"Action,Adventure,Comedy,Drama,Fantasy","Oct 20, 1999, 09:30 (JST)",8.60,"1,698,843",Super Power
Sword Art Online II,A-1 Pictures,24,Light novel,"Action,Adventure,Fantasy,Romance","Jul 5, 2014, 00:00 (JST)",6.72,"1,666,644",Game
Ao no Exorcist,A-1 Pictures,25,Manga,"Action,Fantasy,Supernatural","Apr 17, 2011, 17:00 (JST)",7.53,"1,634,733",Demons
Shingeki no Kyojin Season 3 Part 2,Wit Studio,10,Manga,"Action,Drama,Fantasy,Mystery","Apr 29, 2019, 00:10 (JST)",9.09,"1,602,372","Military,Super Power"
Ansatsu Kyoushitsu,Lerche,22,Manga,"Action,Comedy","Jan 10, 2015, 00:55 (JST)",8.11,"1,586,702",School
Mob Psycho 100,Bones,12,Web manga,"Action,Comedy,Slice of Life,Supernatural","Jul 11, 2016, 00:00 (JST)",8.48,"1,574,410","Crunchyroll,Funimation"
Jujutsu Kaisen (TV),MAPPA,24,Manga,"Action,Supernatural","Oct 3, 2020, 01:25 (JST)",8.72,"1,542,684","Demons,School"
Bleach,Studio Pierrot,366,Manga,"Action,Adventure,Comedy,Supernatural","Oct 5, 2004, 18:00 (JST)",7.82,"1,511,350",Super Power
Kiseijuu: Sei no Kakuritsu,Madhouse,24,Manga,"Action,Drama,Horror,Sci-Fi","Oct 9, 2014, 01:29 (JST)",8.36,"1,509,192",Psychological
Fairy Tail,A-1 Pictures,175,Manga,"Action,Adventure,Comedy,Fantasy","Oct 12, 2009, 10:30 (JST)",7.60,"1,504,370",Shounen
Tokyo Ghoul √A,Studio Pierrot,12,Manga,"Action,Drama,Horror,Mystery,Supernatural","Jan 9, 2015, 00:00 (JST)",7.04,"1,485,206",Psychological
Cowboy Bebop,Sunrise,26,Original,"Action,Adventure,Comedy,Drama,Sci-Fi","Apr 3, 1998, 01:00 (JST)",8.77,"1,481,707",Space
Code Geass: Hangyaku no Lelouch R2,Sunrise,25,Original,"Action,Drama,Sci-Fi","Apr 6, 2008, 17:00 (JST)",8.91,"1,468,658","Mecha,Military,Super Power"
Kill la Kill,Trigger,24,Original,"Action,Comedy,Ecchi","Oct 4, 2013, 02:05 (JST)",8.06,"1,462,089","School,Super Power"
Neon Genesis Evangelion,Gainax,26,Original,"Action,Avant Garde,Drama,Sci-Fi","Oct 4, 1995, 18:30 (JST)",8.33,"1,416,377","Mecha,Psychological"
Soul Eater,Bones,51,Manga,"Action,Comedy,Fantasy,Supernatural","Apr 7, 2008, 18:00 (JST)",7.85,"1,384,160",Shounen
Psycho-Pass,Production I.G,22,Original,"Action,Sci-Fi,Suspense","Oct 12, 2012, 00:45 (JST)",8.36,"1,382,803","Police,Psychological"
Tengen Toppa Gurren Lagann,Gainax,27,Original,"Action,Adventure,Comedy,Sci-Fi","Apr 1, 2007, 08:30 (JST)",8.64,"1,366,937",Mecha
Shingeki no Kyojin: The Final Season,MAPPA,16,Manga,"Action,Drama,Fantasy,Mystery","Dec 7, 2020, 00:10 (JST)",8.90,"1,352,197","Military,Super Power"
Elfen Lied,Arms,13,Manga,"Action,Drama,Horror,Romance,Supernatural","Jul 25, 2004, 22:30 (JST)",7.52,"1,316,200",Psychological
Boku no Hero Academia 4th Season,Bones,25,Manga,"Action,Comedy","Oct 12, 2019, 17:30 (JST)",7.99,"1,313,115","School,Super Power"
Darling in the FranXX,A-1 Pictures,24,Original,"Action,Drama,Romance,Sci-Fi","Jan 13, 2018, 23:30 (JST)",7.26,"1,292,769",Mecha
Fullmetal Alchemist,Bones,51,Manga,"Action,Adventure,Comedy,Drama,Fantasy","Oct 4, 2003, 18:00 (JST)",8.13,"1,292,010",Military
One Punch Man 2nd Season,J.C.Staff,12,Web manga,"Action,Comedy,Sci-Fi,Supernatural","Apr 10, 2019, 01:35 (JST)",7.43,"1,275,454","Parody,Super Power"
Highschool of the Dead,Madhouse,12,Manga,"Action,Horror,Supernatural,Ecchi","Jul 5, 2010, 11:30 (JST)",7.10,"1,273,820",Shounen
Fate/Zero,ufotable,13,Light novel,"Action,Fantasy,Supernatural","Oct 2, 2011, 00:00 (JST)",8.31,"1,271,392",Aniplex of America
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,J.C.Staff,13,Light novel,"Action,Adventure,Comedy,Fantasy,Romance","Apr 4, 2015, 01:05 (JST)",7.58,"1,261,585",Sentai Filmworks
